Position,Horse,Trainer,Jockey,Track,Date,Distance,Condition,Prize,Class,WGT,Pos_800_400,Margin,Rating,Odds
3-8,1. Codigo (NZ) (1),S.B.Marsh,B.Shinn,FLEM R1,03 JUN 23,1200M,Soft 7,$150K,2Y HCP,59kg,1st / 2nd,3.9L,70,$2.9
3-10,Zee Falls (NZ),S.B.Marsh,-,TE R R8,06 MAY 23,1600M,Heavy 8,$32.5K,RATING 87,56kg,-,0.9L,-,$4.3
11-11,10. Lincoln King (NZ) (10),S.B.Marsh,-,HAST R7,15 APR 23,2200M,Good 4,$93.1K,Listed HWK'S BAY CUP,53.5kg,-,7.3L,53,$15.00
7-18,6. Andalus (NZ) (8),S.B.Marsh,Z.Purton,RAND R9,01 APR 23,2400M,Heavy 9,$2.1M,G1 ATC DERBY,56.5kg,3rd / 2nd,4.72L,90,$21.00
2-8,Ciambella (NZ),S.B.Marsh,T.L.Taiaroa,TREN R5,11 MAR 23,2200M,Good,$27.9K,RATING 75,53kg,-,0.2L,-,$7.6
5-14,5. Lincoln King (NZ) (5),S.B.Marsh,O.P.Bosson,PUKE R9,11 MAR 23,3200M,Soft 5,$465.5K,G2 AUCKLAND CUP,56kg,-,6.7L,56,$14.00
1-7,6. Ulanova (NZ) (6),S.B.Marsh,C.J.Grylls,PUKE R5,11 MAR 23,1200M,Soft 5,$297.9K,G1 SISTEMA,55kg,-,2.3L,55,$14.00
17-18,15. Cruz Missile (NZ) (15),S.B.Marsh,M.J.McNab,TE R R8,04 MAR 23,2400M,Good 4,$931K,G1 NZ DERBY,57kg,-,12.7L,57,$67.00
2-18,13. Andalus (NZ) (13),S.B.Marsh,-,TE R R8,04 MAR 23,2400M,Good 4,$931K,G1 NZ DERBY,57kg,-,0.4L,57,$102.00
3-12,Mazzolino (NZ),S.B.Marsh,C.J.Grylls,TE R R5,04 MAR 23,1400M,Good 4,$74.4K,Listed MUFHASA STKS,56kg,-,1L,-,$7.7
4-7,6. Ulanova (NZ) (6),S.B.Marsh,S.R.Weatherley,MATA R7,25 FEB 23,1200M,Heavy 10,$111.7K,G2 MTMT BRDRS,56.5kg,-,7.9L,56,$1.70
3-14,5. Lincoln King (NZ) (5),S.B.Marsh,V.A.Colgan,PUKE R7,18 FEB 23,2400M,Good 6,$130.3K,G2 AVONDALE CUP,56.5kg,-,3.6L,56,$53.00
7-13,2. Andalus (NZ) (2),S.B.Marsh,M.J.McNab,PUKE R5,18 FEB 23,2100M,Good 6,$130.3K,G2 AVONDALE GNS,57kg,-,5.2L,57,$18.00
11-11,1. Cruz Missile (NZ) (1),S.B.Marsh,V.A.Colgan,TE R R6,11 FEB 23,2000M,Good 4,$418.9K,G1 HERBIE DYKE STK,54kg,-,15.1L,54,$31.00
1-9,Zee Falls (NZ),S.B.Marsh,D.M.Lane,PUKE R1,21 JAN 23,2200M,Good 4,$111.7K,RATING 87,56kg,-,-,-,$4.2
1-12,5. Andalus (NZ) (5),S.B.Marsh,-,TE R R9,18 JAN 23,1600M,Good,$13K,3Y MDN-SW,57.5kg,-,1L,57,$3.20
3-13,Zee Falls (NZ),S.B.Marsh,L.J.Allpress,TE R R8,01 JAN 23,2400M,Good,$186.2K,G3 QN ELIZ II CUP,53kg,-,3.4L,-,$24
4-10,8. Andalus (NZ) (8),S.B.Marsh,M.J.McNab,HAST R6,31 DEC 22,1400M,Soft,$13.2K,MDN-SW,57kg,-,1.2L,57,$2.30
3-10,El Vencedor (NZ),S.B.Marsh,W.F.Pinn (anull),PUKE R6,03 DEC 22,1200M,Good,$51.8K,HCP,54kg,-,2.8L,-,$9.3
2-10,Zee Falls (NZ),S.B.Marsh,L.J.Allpress,AWAP R7,29 OCT 22,2100M,Good,$61.2K,Listed FLDNG GOLD CUP,53kg,-,1L,-,$5.6
1-12,La Bella Beals,S.B.Marsh,O.P.Bosson,TE R R9,22 OCT 22,1300M,Good 4,$28.2K,RATING 75,57.5kg,-,-,-,$2.9
7-9,7. Miss Cartier (NZ) (6),S.B.Marsh,D.Moor,M V R10,22 OCT 22,1600M,Heavy 8,$202K,G3 TESIO STKS,54.5kg,2nd / 1st,7.1L,78,$31
14-14,16. Miss Cartier (NZ) (2),S.B.Marsh,T.Berry,CAUL R8,15 OCT 22,1400M,Soft 6,$301K,G2 TRISTARC,55kg,13th / 12th,8.7L,78,$61
9-10,Andalus (NZ) (2),S.B.Marsh,C.J.Grylls,MATA R6,08 OCT 22,1400M,Soft 6,$132K,G2 HAWKES BAY GNS,57kg,-,8.4L,-,$22
4-15,La Bella Beals (4),S.B.Marsh,O.P.Bosson,HAST R8,10 SEP 22,1200M,Heavy 10,$47.1K,RATING 75,57.5kg,-,3.5L,-,$4.7
4-8,Andalus (NZ) (3),S.B.Marsh,M.Hashizume,RUAK R5,10 SEP 22,1400M,Good,$28.2K,3Y-SW+P,55kg,-,1.7L,-,$11
5-7,Andalus (NZ) (2),S.B.Marsh,V.A.Colgan,TAUP R8,24 AUG 22,1100M,Soft 6,$13.2K,3Y C&G SWP,56kg,-,5.7L,-,$0
1-11,5. El Vencedor (NZ) (8),S.B.Marsh,.P.Byrne,DOOM R7,22 JUN 22,1200M,Good 4,$35K,CL3-SW,58.5kg,2nd / 2nd,-,74,$2.15
4-16,15. Chakana (NZ) (9),S.B.Marsh,A.T.Allen,IPSW R7,18 JUN 22,2150M,Soft 5,$175K,Listed IPSWICH CUP,54kg,14th / 13th,1.5L,72,$26
2-11,4. El Vencedor (NZ) (9),S.B.Marsh,.P.Byrne,DOOM R8,15 JUN 22,1200M,Good 4,$35K,CL4,58.5kg,1st / 1st,0.2L,73,$5.5
